name,threshhold1,threshhold2,precision0,recall0,f1-score0,support0,precision1,recall1,f1-score1,support1,accuracy,macro avg,weighted avg
tag#android,0.21321867406368256,0.26249873638153076,0.9876237623762376,0.9888475836431226,0.988235294117647,807,0.7906976744186046,0.7727272727272727,0.7816091954022988,44,0.9776733254994124,0.8849222447599729,0.9775519235612719
tag#api,0.011973682790994644,0.06178255379199982,0.9759036144578314,0.9747292418772563,0.975316074653823,831,0.0,0.0,0.0,20,0.9518213866039953,0.4876580373269115,0.9523944277759423
tag#bot,0.041099581867456436,0.16698616743087769,0.9757281553398058,0.976913730255164,0.97632058287796,823,0.2962962962962963,0.2857142857142857,0.2909090909090909,28,0.954171562867215,0.6336148368935255,0.9537688534124743
tag#cli,0.01675129123032093,0.0863378494977951,0.9820574162679426,0.9832335329341317,0.9826451226810293,835,0.06666666666666667,0.0625,0.06451612903225808,16,0.9659224441833137,0.5235806258566437,0.9653830029414519
tag#computer-vision,0.015601631253957748,0.1505250334739685,0.98562874251497,0.986810551558753,0.9862192929898141,834,0.3125,0.29411764705882354,0.30303030303030304,17,0.972972972972973,0.6446247980100586,0.9725715693360989
tag#cryptocurrency,0.02355792373418808,0.11439855396747589,0.985663082437276,0.9868421052631579,0.986252241482367,836,0.21428571428571427,0.2,0.20689655172413796,15,0.972972972972973,0.5965743966032525,0.9725150671623043
tag#data-science,0.03318608179688454,0.1897616684436798,0.9819494584837545,0.983132530120482,0.9825406381697773,830,0.3,0.2857142857142857,0.2926829268292683,21,0.9659224441833137,0.6376117824995228,0.9655171223787659
tag#deep-learning,0.039015140384435654,0.2218342423439026,0.9553571428571429,0.9565772669220945,0.955966815571155,783,0.4925373134328358,0.4852941176470588,0.4888888888888889,68,0.918918918918919,0.7224278522300219,0.9186444900548282
tag#django,0.07035243511199951,0.5969411730766296,0.9770992366412213,0.978343949044586,0.9777211966900063,785,0.7384615384615385,0.7272727272727273,0.732824427480916,66,0.9588719153936546,0.8552728120854611,0.9587280277501709
tag#docker,0.040831174701452255,0.14286687970161438,0.973397823458283,0.9745762711864406,0.9739866908650938,826,0.125,0.12,0.12244897959183673,25,0.9494712103407755,0.5482178352284652,0.9489708944117078
tag#flask,0.23816344141960144,0.4888714551925659,0.9876695437731196,0.9888888888888889,0.9882788402220851,810,0.775,0.7560975609756098,0.7654320987654322,41,0.9776733254994124,0.8768554694937587,0.9775423932188856
tag#google,0.03695528954267502,0.13100120425224304,0.9819711538461539,0.9831528279181708,0.9825616355983163,831,0.2631578947368421,0.25,0.25641025641025644,20,0.9659224441833137,0.6194859460042864,0.9654957982495956
tag#gradle,0.009010187350213528,0.31595322489738464,0.9890776699029126,0.9902794653705954,0.9896782027929568,823,0.7037037037037037,0.6785714285714286,0.6909090909090909,28,0.9800235017626322,0.8402936468510238,0.979847961743899
