,project_name,ext,count
0,django-treebeard#django-treebeard,.cfg,1
1,django-treebeard#django-treebeard,.yml,3
2,django-treebeard#django-treebeard,.ini,2
3,django-treebeard#django-treebeard,,19
4,django-treebeard#django-treebeard,.md,4
5,django-treebeard#django-treebeard,.in,1
6,django-treebeard#django-treebeard,.py,26
7,django-treebeard#django-treebeard,.txt,1
8,django-treebeard#django-treebeard,.sample,12
9,django-treebeard#django-treebeard,.idx,1
10,django-treebeard#django-treebeard,.pack,1
11,django-treebeard#django-treebeard,.html,4
12,django-treebeard#django-treebeard,.po,11
13,django-treebeard#django-treebeard,.mo,11
14,django-treebeard#django-treebeard,.png,3
15,django-treebeard#django-treebeard,.js,2
16,django-treebeard#django-treebeard,.css,1
17,django-treebeard#django-treebeard,.bat,1
18,django-treebeard#django-treebeard,.rst,13
19,orchidhq#Orchid,.sh,10
20,orchidhq#Orchid,,20
21,orchidhq#Orchid,.bat,2
22,orchidhq#Orchid,.lockfile,39
23,orchidhq#Orchid,.toml,3
24,orchidhq#Orchid,.kts,50
25,orchidhq#Orchid,.md,253
26,orchidhq#Orchid,.properties,6
27,orchidhq#Orchid,.kt,546
28,orchidhq#Orchid,.scss,140
29,orchidhq#Orchid,.js,33
30,orchidhq#Orchid,.peb,208
31,orchidhq#Orchid,.css,4
32,orchidhq#Orchid,.jpeg,1
33,orchidhq#Orchid,.png,31
34,orchidhq#Orchid,.xml,2
35,orchidhq#Orchid,.cmd,1
36,orchidhq#Orchid,.java,143
37,orchidhq#Orchid,.jar,4
38,orchidhq#Orchid,.sbt,4
39,orchidhq#Orchid,.scala,1
40,orchidhq#Orchid,.groovy,10
41,orchidhq#Orchid,.sample,12
42,orchidhq#Orchid,.pack,1
43,orchidhq#Orchid,.idx,1
44,orchidhq#Orchid,.swift,6
45,orchidhq#Orchid,.html,3
46,orchidhq#Orchid,.ad,2
47,orchidhq#Orchid,.svg,56
48,orchidhq#Orchid,.yml,18
49,orchidhq#Orchid,.py,1
50,orchidhq#Orchid,.ico,2
51,orchidhq#Orchid,.jpg,12
52,orchidhq#Orchid,.yaml,1
53,gyli#PyWaffle,.toml,2
54,gyli#PyWaffle,.ipynb,1
55,gyli#PyWaffle,.cfg,1
56,gyli#PyWaffle,.yaml,1
57,gyli#PyWaffle,,111
58,gyli#PyWaffle,.sh,2
59,gyli#PyWaffle,.txt,2
60,gyli#PyWaffle,.md,12
61,gyli#PyWaffle,.in,1
62,gyli#PyWaffle,.py,13
63,gyli#PyWaffle,.rst,6
64,gyli#PyWaffle,.svg,32
65,gyli#PyWaffle,.sample,12
66,gyli#PyWaffle,.bat,1
67,gyli#PyWaffle,.doctree,5
68,gyli#PyWaffle,.css,1
69,tensorlayer#TensorLayer,.cfg,3
70,tensorlayer#TensorLayer,.md,21
71,tensorlayer#TensorLayer,.yml,7
72,tensorlayer#TensorLayer,.rst,27
73,tensorlayer#TensorLayer,.yaml,1
74,tensorlayer#TensorLayer,,22
75,tensorlayer#TensorLayer,.py,259
76,tensorlayer#TensorLayer,.sh,3
77,tensorlayer#TensorLayer,.json,3
78,tensorlayer#TensorLayer,.jpeg,6
79,tensorlayer#TensorLayer,.png,23
80,tensorlayer#TensorLayer,.pdf,2
81,tensorlayer#TensorLayer,.txt,14
82,tensorlayer#TensorLayer,.jpg,24
83,tensorlayer#TensorLayer,.names,1
84,tensorlayer#TensorLayer,.sample,12
85,tensorlayer#TensorLayer,.idx,1
86,tensorlayer#TensorLayer,.pack,1
87,tensorlayer#TensorLayer,.psd,3
88,tensorlayer#TensorLayer,.bat,2
89,tensorlayer#TensorLayer,.css,1
90,tensorlayer#TensorLayer,.gif,1
91,tensorlayer#TensorLayer,.h5,1
92,tensorlayer#TensorLayer,.ustc,1
93,carpedm20#emoji,.yml,3
94,carpedm20#emoji,.rst,5
95,carpedm20#emoji,.in,1
96,carpedm20#emoji,.txt,3
97,carpedm20#emoji,.py,16
98,carpedm20#emoji,.md,2
99,carpedm20#emoji,,66
100,carpedm20#emoji,.js,1
101,carpedm20#emoji,.css,1
102,carpedm20#emoji,.html,1
103,carpedm20#emoji,.sample,12
104,carpedm20#emoji,.png,2
105,carpedm20#emoji,.ini,1
106,carpedm20#emoji,.bat,1
107,viewflow#viewflow,.json,4
108,viewflow#viewflow,,17
109,viewflow#viewflow,.txt,2
110,viewflow#viewflow,.cfg,1
111,viewflow#viewflow,.yml,2
112,viewflow#viewflow,.ini,1
113,viewflow#viewflow,.js,5
114,viewflow#viewflow,.py,127
115,viewflow#viewflow,.rst,6
116,viewflow#viewflow,.in,1
117,viewflow#viewflow,.png,3
118,viewflow#viewflow,.xml,1
119,viewflow#viewflow,.html,28
120,viewflow#viewflow,.po,14
121,viewflow#viewflow,.mo,14
122,viewflow#viewflow,.css,2
123,viewflow#viewflow,.sample,12
124,viewflow#viewflow,.pack,1
125,viewflow#viewflow,.idx,1
126,viewflow#viewflow,.0,1
127,viewflow#viewflow,.scss,1
128,firmai#financial-machine-learning,.py,7
129,firmai#financial-machine-learning,.md,17
130,firmai#financial-machine-learning,.txt,1
131,firmai#financial-machine-learning,,49
132,firmai#financial-machine-learning,.csv,1
133,firmai#financial-machine-learning,.drawio,1
134,firmai#financial-machine-learning,.sample,12
135,firmai#financial-machine-learning,.yml,3
136,marcosfede#algorithms,,33
137,marcosfede#algorithms,.md,159
138,marcosfede#algorithms,.toml,1
139,marcosfede#algorithms,.py,264
140,marcosfede#algorithms,.in,16
141,marcosfede#algorithms,.out,13
142,marcosfede#algorithms,.png,10
143,marcosfede#algorithms,.yml,4
144,marcosfede#algorithms,.json,1
145,marcosfede#algorithms,.txt,46
146,marcosfede#algorithms,.jl,23
147,marcosfede#algorithms,.rs,11
148,marcosfede#algorithms,.cpp,3
149,marcosfede#algorithms,.js,18
150,marcosfede#algorithms,.go,19
151,marcosfede#algorithms,.scala,16
152,marcosfede#algorithms,.hs,6
153,marcosfede#algorithms,.ex,4
154,marcosfede#algorithms,.rb,16
155,marcosfede#algorithms,.sample,12
156,marcosfede#algorithms,.idx,1
157,marcosfede#algorithms,.pack,1
158,marcosfede#algorithms,.c,2
159,marcosfede#algorithms,.st,2
160,zostera#django-bootstrap3,.md,3
161,zostera#django-bootstrap3,.ini,1
162,zostera#django-bootstrap3,,103
163,zostera#django-bootstrap3,.toml,1
164,zostera#django-bootstrap3,.py,31
165,zostera#django-bootstrap3,.yml,5
166,zostera#django-bootstrap3,.in,1
167,zostera#django-bootstrap3,.txt,2
168,zostera#django-bootstrap3,.sample,12
169,zostera#django-bootstrap3,.html,18
170,zostera#django-bootstrap3,.rst,8
171,saadmk11#github-actions-version-updater,.py,1
172,saadmk11#github-actions-version-updater,.yaml,2
173,saadmk11#github-actions-version-updater,,28
174,saadmk11#github-actions-version-updater,.md,2
175,saadmk11#github-actions-version-updater,.txt,1
176,saadmk11#github-actions-version-updater,.sample,12
177,saadmk11#github-actions-version-updater,.6,1
178,graphql-python#graphene-django,.cfg,3
179,graphql-python#graphene-django,.md,7
180,graphql-python#graphene-django,.ini,1
181,graphql-python#graphene-django,,20
182,graphql-python#graphene-django,.rst,17
183,graphql-python#graphene-django,.in,1
184,graphql-python#graphene-django,.py,159
185,graphql-python#graphene-django,.json,3
186,graphql-python#graphene-django,.txt,3
187,graphql-python#graphene-django,.html,1
188,graphql-python#graphene-django,.js,1
189,graphql-python#graphene-django,.sample,12
190,graphql-python#graphene-django,.pack,1
191,graphql-python#graphene-django,.idx,1
192,graphql-python#graphene-django,.yml,5
193,coqui-ai#TTS,.yaml,3
194,coqui-ai#TTS,.py,302
195,coqui-ai#TTS,,19
196,coqui-ai#TTS,.cfg,1
197,coqui-ai#TTS,.md,37
198,coqui-ai#TTS,.cff,1
199,coqui-ai#TTS,.toml,1
200,coqui-ai#TTS,.sh,8
201,coqui-ai#TTS,.rst,1
202,coqui-ai#TTS,.yml,13
203,coqui-ai#TTS,.in,1
204,coqui-ai#TTS,.txt,7
205,coqui-ai#TTS,.gif,2
206,coqui-ai#TTS,.png,7
207,coqui-ai#TTS,.json,20
