fq_name,count
androidx.appcompat,1484
android.view,9141
android,131
android.content,7484
android.net,1042
android.os,4600
com.google.android,1268
androidx.core,2729
androidx.recyclerview,2044
android.text,1488
android.util,1781
android.widget,3167
androidx.activity,301
com.tbruyelle,12
com.tencent,32
kotlinx.coroutines,11170
lib,1726
me,319
rx,519
java.util,7986
java.io,5989
android.app,2061
com.google.zxing,71
androidx.fragment,1363
androidx.viewpager2,86
android.graphics,3026
com.google.gson,685
androidx.preference,447
android.animation,348
java.text,373
java.net,1619
co,4028
java.lang,1180
kotlin,16706
android.webkit,173
android.annotation,669
android.service,19
androidx.annotation,2267
go,2
android.appwidget,63
org.json,253
androidx.lifecycle,3315
androidx.multidex,20
org.junit,18818
org.gradle,5721
org.jetbrains.dokka,46
org.jetbrains.kotlin,63
org.jetbrains.kotlin.gradle,556
com.google.auto,39
android.telephony,40
android.preference,35
com.faendir,9
android.provider,185
android.hardware,119
android.media,140
android.database,153
java.security,471
javax,5570
com.gh0u1l5,14
de,356
android.support,245
java.time,2060
org.objenesis,11
io.mockk,3971
com.github,1772
io.gitlab,151
platform,868
kotlinx.cinterop,258
org.mockito,1097
junit,397
androidx.savedstate,23
androidx.navigation,1025
androidx.work,554
kotlinx.android,916
org.jetbrains.anko,57
androidx.arch,186
io.ktor,1113
org.apache,972
space,17
androidx.compose.runtime,3895
kotlinx.browser,689
org.w3c,1455
kotlinx.dom,96
androidx.compose.ui,7075
androidx.compose.foundation,5125
androidx.compose.material,2709
org.openqa,153
androidx.compose.desktop,54
org.jetbrains.intellij,18
com.intellij.ide,612
com.intellij.openapi.application,391
java.awt,1403
com.intellij.openapi.project,1378
com.intellij.openapi.ui,224
com.apollographql,94
okhttp3,1357
org.jetbrains.annotations,326
org.ocpsoft,4
java.nio,2274
com.arkivanov,150
com.badoo,361
com.squareup,1441
example,35
androidx.compose.animation,403
android.renderscript,13
org.jetbrains.skia,138
kotlinx.html,694
react,96
styled,4
org.jetbrains.skiko,44
com.intellij.openapi.editor,1212
com.intellij.psi,5436
org.jetbrains.kotlin.psi,2486
org.jetbrains.uast,101
com.intellij.openapi.wm,119
com.intellij.ui,507
org.intellij,425
org.openjdk,107
org.jetbrains.kotlin.builtins,27
org.jetbrains.kotlin.descriptors,138
org.jetbrains.kotlin.idea,141
org.jetbrains.kotlin.platform,11
org.jetbrains.kotlin.resolve,558
org.jetbrains.kotlin.types,134
com.intellij.execution,1038
com.intellij.openapi.util,995
org.jetbrains.plugins,57
org.jetbrains.kotlin.lexer,164
com.intellij.util,1038
com.intellij.openapi.roots,215
com.intellij.openapi.components,226
org.jdom,58
com.intellij.openapi.diagnostic,294
com.intellij.openapi.module,248
org.cef,12
org.jetbrains.skija,22
uk,18
org.lwjgl,56
com.fasterxml,2058
okio,1164
org.jsoup,118
org.jetbrains.kotlin.konan,23
kotlinx.serialization,2916
groovy,165
com.gradle,10
B.Companion,2
JavaClass.Inner.InnerInner,4
GradlePropertyIssue,4
My,10
Host,28
C,36
E,2
Class.C,16
Base,5
JavaClass,4
O,6
C.Companion,4
Color,2
JavaInterface,8
Outer,6
Kind,4
B,12
unr,33
Klass,4
B.JC,2
B.Base.Companion,2
C.Base.Companion,2
Private,2
Obj,4
Bar,2
unexported,2
LibPackCase1,52
LibPackCase2,28
LibPackCase1.a,20
LibPackCase2.a,4
LibPackCase2.b,4
TaskUtils,2
withPosix,338
withPosixOther,54
unixHelper,14
windowsHelper,2
org.codehaus,33
org.tools4j,3
sun,21
com.ullink,26
shadow,13
llvm,39
android.accounts,141
android.location,79
android.nfc,33
android.bluetooth,12
android.print,14
android.telecom,10
android.companion,4
org.objectweb,292
org.jtwig,14
java.math,698
com.samskivert,4
org.xml,28
org.robolectric,327
com.intellij.injected,20
com.intellij.lang,873
com.intellij.navigation,84
com.intellij.openapi.vfs,524
org.jetbrains.android,10
java.beans,6
com.android,590
com.intellij.openapi.extensions,71
org.jetbrains.kotlin.utils,44
org.jetbrains.kotlin.caches,4
org.jetbrains.org,4
org.jetbrains.kotlin.codegen,11
org.jetbrains.kotlin.config,71
org.jetbrains.kotlin.incremental,8
org.jetbrains.kotlin.name,91
