fq_name,count
androidx.appcompat.app.AppCompatActivity,564
android.view.MenuItem,304
android.Manifest,92
android.content.Intent,1242
android.net.Uri,794
android.net.VpnService,1
android.os.Bundle,2546
com.google.android.material.navigation.NavigationView,21
androidx.core.view.GravityCompat,23
androidx.appcompat.app.ActionBarDrawerToggle,27
androidx.recyclerview.widget.LinearLayoutManager,345
androidx.recyclerview.widget.ItemTouchHelper,22
android.text.TextUtils,187
android.util.Log,394
android.view.KeyEvent,86
android.view.Menu,236
android.widget.Toast,292
androidx.activity.result.contract.ActivityResultContracts,55
androidx.activity.viewModels,58
com.tbruyelle.rxpermissions.RxPermissions,4
com.tencent.mmkv.MMKV,19
kotlinx.coroutines.Dispatchers,691
kotlinx.coroutines.GlobalScope,196
kotlinx.coroutines.launch,1006
libv2ray.Libv2ray,2
me.drakeet.support.toast.ToastCompat,3
rx.Observable,169
rx.android.schedulers.AndroidSchedulers,65
java.util.concurrent.TimeUnit,671
android.os.Handler,179
android.os.Looper,136
android.text.method.ScrollingMovementMethod,12
android.view.View,3037
java.io.IOException,909
java.util.LinkedHashSet,1
androidx.appcompat.app.AlertDialog,230
android.widget,57
android.app.Activity,678
android.widget.ArrayAdapter,47
android.widget.ListView,38
java.util.ArrayList,208
com.google.zxing.WriterException,8
androidx.fragment.app.Fragment,674
androidx.fragment.app.FragmentActivity,110
androidx.viewpager2.adapter.FragmentStateAdapter,37
com.google.zxing.Result,4
me.dm7.barcodescanner.zxing.ZXingScannerView,1
android.graphics.BitmapFactory,71
com.google.zxing.BarcodeFormat,11
com.google.gson.Gson,154
androidx.preference,3
android.content,25
android.graphics.Color,419
androidx.recyclerview.widget.RecyclerView,889
android.view.LayoutInflater,1676
android.view.ViewGroup,1900
java.util,1994
androidx.core.content.ContextCompat,405
android.animation.Animator,77
android.animation.AnimatorListenerAdapter,42
android.content.Context,4274
androidx.preference.PreferenceManager,53
androidx.recyclerview.widget.DividerItemDecoration,28
android.view.animation.AccelerateInterpolator,13
android.view.animation.DecelerateInterpolator,33
rx.schedulers.Schedulers,21
java.text.Collator,8
android.view.inputmethod.EditorInfo,49
android.view.inputmethod.InputMethodManager,90
java.net.URL,429
com.google.android.material.tabs.TabLayoutMediator,24
android.app.Activity.RESULT_OK,20
android.view,61
android.view.MenuInflater,99
com.blacksquircle.ui.language.json.JsonLanguage,1
android.graphics.drawable.Drawable,365
com.google.gson.GsonBuilder,50
com.google.gson.JsonPrimitive,8
com.google.gson.JsonSerializationContext,10
com.google.gson.JsonSerializer,10
com.google.gson.annotations.SerializedName,73
com.google.gson.reflect.TypeToken,41
java.lang.reflect.Type,95
android.content.ClipboardManager,58
android.text.Editable,122
android.util.Base64,42
android.graphics.Bitmap,363
com.google.zxing.qrcode.QRCodeWriter,2
com.google.zxing.EncodeHintType,4
kotlin.collections.HashMap,21
android.content.ClipData,41
android.os.SystemClock,62
android.util.Patterns,12
android.webkit.URLUtil,12
kotlinx.coroutines.isActive,38
java.net,84
kotlin.coroutines.coroutineContext,31
android.content.pm.ApplicationInfo,14
android.content.pm.PackageInfo,20
android.content.pm.PackageManager,127
com.google.gson,26
android.content.SharedPreferences,261
java.net.URI,219
android.annotation.TargetApi,88
android.content.BroadcastReceiver,71
android.content.IntentFilter,38
android.graphics.drawable.Icon,8
android.os.Build,715
android.service.quicksettings.Tile,1
android.service.quicksettings.TileService,1
java.lang.ref.SoftReference,13
android.app.Service,47
android.app,4
android.net,1
android.os.ParcelFileDescriptor,11
android.os.StrictMode,57
androidx.annotation.RequiresApi,85
java.io.File,2598
android.app.Notification,46
android.app.NotificationChannel,42
android.app.NotificationManager,75
android.app.PendingIntent,123
androidx.core.app.NotificationCompat,54
go.Seq,1
libv2ray.V2RayPoint,1
libv2ray.V2RayVPNServiceSupportsSet,1
rx.Subscription,19
kotlin.math.min,394
android.os.IBinder,32
android.appwidget.AppWidgetManager,32
android.appwidget.AppWidgetProvider,8
android.content.ComponentName,64
android.widget.RemoteViews,27
org.json.JSONObject,146
java.net.URLConnection,19
android.app.Application,295
androidx.lifecycle.AndroidViewModel,15
androidx.lifecycle.MutableLiveData,399
kotlinx.coroutines,621
java.util.concurrent.ConcurrentHashMap,186
androidx.multidex.MultiDexApplication,13
org.junit.Assert,417
org.junit.Test,4770
org.gradle.accessors.dm.LibrariesForLibs,1
org.gradle.api.Project,579
org.gradle.kotlin.dsl.the,12
org.jetbrains.dokka.gradle.DokkaTask,23
org.jetbrains.kotlin.allopen.gradle.AllOpenExtension,1
org.jetbrains.kotlin.gradle.internal.KaptTask,1
org.jetbrains.kotlin.gradle.tasks.KotlinCompile,172
com.google.auto.service.AutoService,38
kotlin.collections.plus,3
org.json.JSONException,40
org.json.JSONStringer,1
java.io.UnsupportedEncodingException,15
java.net.URLEncoder,62
org.json.JSONArray,59
java.util.concurrent.ExecutionException,42
java.util.concurrent.ExecutorService,62
java.util.concurrent.Executors,158
android.os.Environment,55
java.text.ParseException,35
java.text.SimpleDateFormat,174
android.util.SparseArray,32
android.os.PersistableBundle,10
java.io.ByteArrayInputStream,86
java.io.ByteArrayOutputStream,158
java.io.Closeable,100
java.io.FileOutputStream,88
java.io.ObjectInputStream,25
java.io.ObjectOutputStream,24
java.io.OutputStreamWriter,24
java.io.Serializable,239
java.lang.reflect.InvocationHandler,10
java.lang.reflect.Proxy,20
androidx.annotation.IntRange,27
java.io.BufferedReader,73
java.io.FileInputStream,107
java.io.InputStream,376
android.app.ActivityManager,48
android.os.DropBoxManager,2
android.telephony.TelephonyManager,24
androidx.annotation.VisibleForTesting,395
android.os.Process,15
kotlin.system.exitProcess,76
android.preference.PreferenceManager,27
java.lang.reflect.Modifier,58
com.faendir.kotlin.autodsl.AutoDsl,8
android.app.job.JobParameters,8
android.app.job.JobService,7
android.os.Debug,8
java.lang.RuntimeException,29
android.app.Application.ActivityLifecycleCallbacks,5
java.util.concurrent.locks.ReentrantLock,54
kotlin.concurrent.withLock,23
android.content.SharedPreferences.OnSharedPreferenceChangeListener,16
android.annotation.SuppressLint,580
androidx.annotation.RequiresPermission,6
android.content.ContentResolver,37
android.provider.Settings,62
android.provider.Settings.Secure,2
java.lang.Deprecated,1
java.lang.reflect.Field,45
kotlin.Boolean,23
kotlin.Exception,3
kotlin.IllegalArgumentException,4
kotlin.String,123
kotlin.Throws,5
android.os.StatFs,6
java.lang.reflect.InvocationTargetException,44
java.io.PrintWriter,45
java.io.StringWriter,76
java.io.Writer,29
java.net.NetworkInterface,3
java.net.SocketException,9
android.content.res.Configuration,140
android.graphics.Point,23
android.graphics.Rect,189
android.hardware.display.DisplayManager,14
android.util.DisplayMetrics,54
android.view.Display,3
android.view.Surface,7
android.view.WindowManager,151
android.media.MediaCodecInfo,1
android.media.MediaCodecList,1
android.app.job.JobInfo,13
android.app.job.JobScheduler,12
java.lang.annotation.Inherited,12
android.content.ContentProvider,17
android.content.ContentValues,81
android.database.Cursor,66
android.database.MatrixCursor,9
android.provider.OpenableColumns,6
android.webkit.MimeTypeMap,29
java.io.FileNotFoundException,96
java.util.regex.Pattern,163
java.lang.ref.WeakReference,137
java.util.concurrent.Future,34
java.io.BufferedOutputStream,7
java.io.OutputStream,114
java.net.HttpURLConnection,143
java.net.SocketTimeoutException,26
java.security.GeneralSecurityException,9
java.util.zip.GZIPOutputStream,11
javax.net.ssl.HttpsURLConnection,13
javax.net.ssl.SSLContext,22
javax.net.ssl.TrustManagerFactory,17
androidx.annotation.RawRes,14
java.net.MalformedURLException,22
java.security.KeyStore,31
java.io.BufferedInputStream,17
java.security.KeyStoreException,3
java.security.NoSuchAlgorithmException,9
java.security.cert.CertificateException,15
java.security.cert.CertificateFactory,11
java.net.InetAddress,92
java.net.Socket,55
java.net.UnknownHostException,56
javax.net.ssl.SSLSocket,40
javax.net.ssl.SSLSocketFactory,34
android.content.ActivityNotFoundException,52
androidx.annotation.DrawableRes,224
androidx.annotation.StyleRes,27
com.faendir.kotlin.autodsl.AutoDslRequired,1
