package,count
androidx.appcompat.app,956
android.view,9141
android.Manifest,127
android.content,7484
android.net,1042
android.os,4600
com.google.android,1268
androidx.core.view,986
androidx.recyclerview,2044
android.text,1488
android.util,1781
android.widget,3167
androidx.activity,301
com.tbruyelle,12
com.tencent,32
kotlinx.coroutines,11170
libv2ray,4
me.drakeet,3
rx.Observable,169
rx.android,65
java.util,7943
java.io,5975
android.app,2061
com.google.zxing,71
androidx.fragment,1363
androidx.viewpager2,86
me.dm7,1
android.graphics,3026
com.google.gson,685
androidx.preference,447
androidx.core.content,719
android.animation,348
rx.schedulers,26
java.text,372
java.net,1612
com.blacksquircle,1
java.lang,1154
kotlin.collections,286
android.webkit,173
kotlin.coroutines,1321
android.annotation,669
android.service,19
androidx.annotation,2267
androidx.core.app,213
go,1
rx.Subscription,19
kotlin.math,2242
android.appwidget,63
org.json,253
androidx.lifecycle,3315
androidx.multidex,20
org.junit.Assert,2958
org.junit.Test,4770
org.gradle.accessors,2
org.gradle.api,4403
org.gradle.kotlin,399
org.jetbrains.dokka,46
org.jetbrains.kotlin,5505
com.google.auto,39
android.telephony,40
kotlin.system,154
android.preference,35
com.faendir,9
kotlin.concurrent,165
android.provider,185
kotlin.Boolean,23
kotlin.Exception,3
kotlin.IllegalArgumentException,4
kotlin.String,123
kotlin.Throws,5
android.hardware,119
android.media,140
android.database,153
java.security,462
javax.net,300
com.gh0u1l5,14
de,59
android.support.v7,68
android.support.test,53
org.junit.runner,1409
javax.inject,2977
kotlin.random,329
com.thedeanda,2
java.time,2059
org.objenesis,11
kotlin.reflect,1927
kotlin.test,7048
io.mockk,3971
org.junit.After,389
org.junit.runners,215
org.junit.jupiter,5406
com.github.benmanes,56
io.gitlab,151
kotlinx.kover,4
kotlin.js,287
org.junit.Before,1649
kotlin.time,497
kotlin.native,201
platform,745
kotlinx.cinterop,258
co.touchlab,66
org.junit.rules,224
org.junit.Rule,968
org.mockito,1097
org.junit.FixMethodOrder,8
junit,395
kotlin.properties,189
androidx.savedstate,23
androidx.navigation,1025
androidx.work,554
org.junit.experimental,87
kotlinx.android.synthetic,867
org.jetbrains.anko,57
androidx.arch,186
com.github.jengelman,54
io.ktor.client,275
org.apache.commons,414
space,16
androidx.compose.runtime,3895
kotlinx.browser,689
org.w3c.css,6
org.w3c.dom,1326
kotlinx.dom,96
androidx.compose.ui,7075
androidx.compose.foundation,5125
androidx.compose.material,2709
org.gradle.nativeplatform,31
io.ktor.http,174
io.ktor.routing,62
io.ktor.server,151
org.openqa,153
androidx.compose.desktop,54
org.jetbrains.intellij,18
com.intellij.ide,612
com.intellij.openapi,7606
java.awt,1385
javax.swing,1152
com.apollographql,94
okhttp3,1357
org.jetbrains.annotations,326
org.ocpsoft,4
java.nio.file,1663
com.arkivanov,150
com.badoo.reaktive.completable,50
com.badoo.reaktive.maybe,18
com.badoo.reaktive.scheduler,24
com.badoo.reaktive.base,23
com.badoo.reaktive.observable,164
com.badoo.reaktive.test,15
com.badoo.reaktive.subject,19
com.badoo.reaktive.promise,2
com.badoo.reaktive.single,36
com.squareup.sqldelight,159
example,10
com.badoo.reaktive.coroutinesinterop,4
java.nio.channels,70
java.nio.charset,306
kotlin.text,52
androidx.compose.animation,403
android.renderscript,13
javax.imageio,126
org.jetbrains.skia,138
kotlinx.css,2
kotlinx.html,694
react,87
styled,4
org.jetbrains.skiko,44
com.intellij.codeInsight,1225
com.intellij.psi,5436
org.jetbrains.uast,101
com.intellij.ui,502
org.intellij,425
org.openjdk,107
kotlinx.benchmark,3
com.intellij.execution,1038
org.jetbrains.plugins,57
com.intellij.icons,70
com.intellij.util,1038
com.intellij.testFramework,247
com.intellij.codeInspection,514
com.intellij.configurationStore,7
org.jdom,58
org.cef,12
org.jetbrains.skija,22
java.nio.ByteBuffer,91
uk,17
org.lwjgl,56
com.fasterxml.jackson,2050
javax.xml,173
okio,1164
org.apache.tika,18
